state,district,crop,year,season,area,production,yield
Andhra Pradesh,Chittoor,Coconut,2015,Whole Year,3465,46800000,13506.49
Andhra Pradesh,Chittoor,Coconut,2016,Whole Year,3465,47800000,13795.09
Andhra Pradesh,Chittoor,Coconut,2017,Whole Year,2752,38700000,14062.5
Andhra Pradesh,Chittoor,Coconut,2018,Whole Year,2501,45500000,18192.72
Andhra Pradesh,Chittoor,Coconut,2019,Whole Year,2360,21606000,9155.08
Andhra Pradesh,East Godavari,Coconut,2000,Whole Year,48237,588584535,12201.93
Andhra Pradesh,East Godavari,Coconut,2001,Whole Year,48515,629772990,12981
Andhra Pradesh,East Godavari,Coconut,2002,Whole Year,49479,685943720,13863.33
Andhra Pradesh,East Godavari,Coconut,2003,Whole Year,48854,683171460,13983.94
Andhra Pradesh,East Godavari,Coconut,2004,Whole Year,49381,674125653,13651.52
Andhra Pradesh,East Godavari,Coconut,2005,Whole Year,49692,369060890,7426.97
Andhra Pradesh,East Godavari,Coconut,2006,Whole Year,49592,613037376,12361.62
Andhra Pradesh,East Godavari,Coconut,2008,Whole Year,50214,492936570,9816.72
Andhra Pradesh,East Godavari,Coconut,2009,Whole Year,50247,527381820,10495.79
Andhra Pradesh,East Godavari,Coconut,2010,Whole Year,50789,603358000,11879.7
Andhra Pradesh,East Godavari,Coconut,2011,Whole Year,50741,719961050,14188.94
Andhra Pradesh,East Godavari,Coconut,2012,Whole Year,49516,729965000,14742
Andhra Pradesh,East Godavari,Coconut,2013,Whole Year,49114,720895000,14677.99
Andhra Pradesh,East Godavari,Coconut,2014,Whole Year,46865,715300000,15262.99
Andhra Pradesh,East Godavari,Coconut,2015,Whole Year,50490,737154000,14600
Andhra Pradesh,East Godavari,Coconut,2016,Whole Year,50501,696900000,13799.73
Andhra Pradesh,East Godavari,Coconut,2017,Whole Year,50473,737300000,14607.81
Andhra Pradesh,East Godavari,Coconut,2018,Whole Year,50538,766300000,15162.85
Andhra Pradesh,East Godavari,Coconut,2019,Whole Year,50535,898057000,17770.99
Andhra Pradesh,Guntur,Coconut,2000,Whole Year,519,5555550,10704.34
Andhra Pradesh,Guntur,Coconut,2001,Whole Year,491,5426352,11051.63
Andhra Pradesh,Guntur,Coconut,2002,Whole Year,399,4488408,11249.14
Andhra Pradesh,Guntur,Coconut,2003,Whole Year,380,4497480,11835.47
Andhra Pradesh,Guntur,Coconut,2004,Whole Year,215,2528312,11759.59
Andhra Pradesh,Guntur,Coconut,2005,Whole Year,222,1941072,8743.57
Andhra Pradesh,Guntur,Coconut,2006,Whole Year,213,2747097,12897.17
Andhra Pradesh,Guntur,Coconut,2008,Whole Year,157,1435126,9140.93
Andhra Pradesh,Guntur,Coconut,2009,Whole Year,136,1539810,11322.13
Andhra Pradesh,Guntur,Coconut,2010,Whole Year,142,1680000,11830.99
Andhra Pradesh,Guntur,Coconut,2011,Whole Year,125,1757728,14061.82
Andhra Pradesh,Guntur,Coconut,2012,Whole Year,118,2016000,17084.75
Andhra Pradesh,Guntur,Coconut,2013,Whole Year,111,1840000,16576.58
Andhra Pradesh,Guntur,Coconut,2014,Whole Year,112,800000,7142.86
Andhra Pradesh,Guntur,Coconut,2015,Whole Year,99,920000,9292.93
Andhra Pradesh,Guntur,Coconut,2016,Whole Year,159,2200000,13836.48
Andhra Pradesh,Guntur,Coconut,2017,Whole Year,110,1100000,10000
Andhra Pradesh,Guntur,Coconut,2018,Whole Year,99,1600000,16161.62
Andhra Pradesh,Guntur,Coconut,2019,Whole Year,97,1785000,18402.06
Andhra Pradesh,Kadapa,Coconut,2000,Whole Year,146,625240,4282.47
Andhra Pradesh,Kadapa,Coconut,2001,Whole Year,148,530400,3583.78
Andhra Pradesh,Kadapa,Coconut,2002,Whole Year,155,658350,4247.42
Andhra Pradesh,Kadapa,Coconut,2003,Whole Year,104,406980,3913.27
Andhra Pradesh,Kadapa,Coconut,2004,Whole Year,95,725372,7635.49
Andhra Pradesh,Kadapa,Coconut,2005,Whole Year,96,384384,4004
Andhra Pradesh,Kadapa,Coconut,2006,Whole Year,92,744660,8094.13
Andhra Pradesh,Kadapa,Coconut,2008,Whole Year,126,1143384,9074.48
